
> coreone-backend@1.1.0 dev
> tsx watch src/app.ts

Database initialized successfully
(node:27316) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-20T03:45:29.501Z] GET /api/v1/inbound
[2026-05-20T03:45:29.504Z] GET /api/v1/outbound
[2026-05-20T03:45:29.506Z] GET /api/v1/outbound
[2026-05-20T03:45:29.747Z] GET /api/v1/users
[2026-05-20T03:45:29.750Z] GET /api/v1/users
[2026-05-20T03:45:29.752Z] GET /api/v1/roles
[2026-05-20T03:45:29.754Z] GET /api/v1/roles
[2026-05-20T03:45:32.260Z] POST /api/v1/auth/login
[2026-05-20T03:45:32.656Z] GET /api/v1/users
[2026-05-20T03:45:33.362Z] POST /api/v1/auth/login
[2026-05-20T03:45:33.967Z] GET /api/v1/users
[2026-05-20T03:45:33.971Z] GET /api/v1/users
[2026-05-20T03:45:33.973Z] GET /api/v1/roles
[2026-05-20T03:45:33.975Z] GET /api/v1/roles
[2026-05-20T03:45:36.017Z] GET /api/v1/users
[2026-05-20T03:45:37.247Z] POST /api/v1/auth/login
[2026-05-20T03:45:37.558Z] GET /api/v1/users
[2026-05-20T03:45:38.178Z] POST /api/v1/auth/login
[2026-05-20T03:45:38.785Z] GET /api/v1/users
[2026-05-20T03:45:38.789Z] GET /api/v1/users
[2026-05-20T03:45:38.791Z] GET /api/v1/roles
[2026-05-20T03:45:38.793Z] GET /api/v1/roles
[2026-05-20T03:45:40.813Z] GET /api/v1/users
[2026-05-20T03:46:08.890Z] POST /api/v1/auth/login
[2026-05-20T03:46:09.254Z] GET /api/v1/users
[2026-05-20T03:46:10.713Z] POST /api/v1/auth/login
[2026-05-20T03:46:11.107Z] GET /api/v1/inventory/stats
[2026-05-20T03:46:11.113Z] GET /api/v1/inventory/stats
[2026-05-20T03:46:11.116Z] GET /api/v1/inbound
[2026-05-20T03:46:11.118Z] GET /api/v1/outbound
[2026-05-20T03:46:11.307Z] GET /api/v1/users
[2026-05-20T03:46:11.309Z] GET /api/v1/roles
[2026-05-20T03:46:11.311Z] GET /api/v1/users
[2026-05-20T03:46:11.313Z] GET /api/v1/roles
[2026-05-20T03:46:13.379Z] GET /api/v1/users
[2026-05-20T03:46:14.916Z] POST /api/v1/auth/login
[2026-05-20T03:46:15.238Z] GET /api/v1/users
[2026-05-20T03:46:15.836Z] POST /api/v1/auth/login
[2026-05-20T03:46:16.431Z] GET /api/v1/users
[2026-05-20T03:46:16.435Z] GET /api/v1/users
[2026-05-20T03:46:16.437Z] GET /api/v1/roles
[2026-05-20T03:46:16.439Z] GET /api/v1/roles
[2026-05-20T03:46:19.107Z] POST /api/v1/auth/login
[2026-05-20T03:46:19.405Z] GET /api/v1/users
[2026-05-20T03:46:19.544Z] POST /api/v1/auth/login
[2026-05-20T03:46:19.892Z] POST /api/v1/users
[2026-05-20T03:46:20.066Z] POST /api/v1/auth/login
[2026-05-20T03:46:20.366Z] GET /api/v1/users
[2026-05-20T03:46:20.497Z] POST /api/v1/auth/login
[2026-05-20T03:46:20.815Z] POST /api/v1/users
[2026-05-20T03:46:21.000Z] POST /api/v1/auth/login
[2026-05-20T03:46:21.324Z] GET /api/v1/users
[2026-05-20T03:46:21.451Z] POST /api/v1/auth/login
[2026-05-20T03:46:21.798Z] POST /api/v1/users
[2026-05-20T03:46:22.126Z] POST /api/v1/users
[2026-05-20T03:46:22.643Z] POST /api/v1/auth/login
[2026-05-20T03:46:22.949Z] GET /api/v1/users
[2026-05-20T03:46:22.951Z] POST /api/v1/auth/login
[2026-05-20T03:46:23.256Z] POST /api/v1/users
[2026-05-20T03:46:23.267Z] POST /api/v1/auth/login
[2026-05-20T03:46:23.554Z] GET /api/v1/users
[2026-05-20T03:46:23.557Z] POST /api/v1/auth/login
[2026-05-20T03:46:23.850Z] POST /api/v1/users
[2026-05-20T03:46:23.862Z] POST /api/v1/auth/login
[2026-05-20T03:46:24.153Z] GET /api/v1/users
[2026-05-20T03:46:24.155Z] POST /api/v1/auth/login
[2026-05-20T03:46:24.451Z] POST /api/v1/users
[2026-05-20T03:46:24.464Z] POST /api/v1/auth/login
[2026-05-20T03:46:24.755Z] GET /api/v1/users
[2026-05-20T03:46:24.757Z] POST /api/v1/auth/login
[2026-05-20T03:46:25.053Z] POST /api/v1/users
[2026-05-20T03:46:25.069Z] POST /api/v1/auth/login
[2026-05-20T03:46:25.374Z] GET /api/v1/users
[2026-05-20T03:46:25.376Z] POST /api/v1/auth/login
[2026-05-20T03:46:25.674Z] POST /api/v1/users
[2026-05-20T03:46:25.689Z] POST /api/v1/auth/login
[2026-05-20T03:46:25.975Z] GET /api/v1/users
[2026-05-20T03:46:26.606Z] POST /api/v1/auth/login
