Database initialized successfully
(node:20256) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-15T09:50:44.150Z] PUT /api/v1/users/test-id
[2026-05-15T09:50:44.162Z] POST /api/v1/auth/login
[2026-05-15T09:50:44.163Z] GET /api/v1/users
[2026-05-15T09:50:44.164Z] POST /api/v1/auth/login
[2026-05-15T09:50:44.404Z] PUT /api/v1/users/test-id
[2026-05-15T09:50:44.413Z] POST /api/v1/auth/login
[2026-05-15T09:50:44.414Z] GET /api/v1/users
[2026-05-15T09:50:45.062Z] POST /api/v1/auth/login
[2026-05-15T09:50:45.063Z] GET /api/v1/users
[2026-05-15T09:50:45.296Z] POST /api/v1/auth/login
[2026-05-15T09:50:45.302Z] GET /api/v1/users
[2026-05-15T09:50:46.097Z] POST /api/v1/auth/login
[2026-05-15T09:50:57.956Z] POST /api/v1/auth/login
[2026-05-15T09:50:57.964Z] GET /api/v1/users
[2026-05-15T09:50:59.099Z] POST /api/v1/auth/login
[2026-05-15T09:51:11.058Z] POST /api/v1/auth/login
[2026-05-15T09:51:11.066Z] GET /api/v1/users
[2026-05-15T09:51:12.248Z] POST /api/v1/auth/login
[2026-05-15T09:51:24.170Z] POST /api/v1/auth/login
[2026-05-15T09:51:24.178Z] GET /api/v1/users
[2026-05-15T09:51:25.480Z] POST /api/v1/auth/login
[2026-05-15T09:51:37.365Z] POST /api/v1/auth/login
[2026-05-15T09:51:37.373Z] GET /api/v1/users
[2026-05-15T09:51:38.196Z] POST /api/v1/auth/login
[2026-05-15T09:51:38.198Z] POST /api/v1/users
[2026-05-15T09:51:38.523Z] POST /api/v1/auth/login
[2026-05-15T09:51:38.525Z] GET /api/v1/users
[2026-05-15T09:51:38.691Z] POST /api/v1/auth/login
[2026-05-15T09:51:38.693Z] GET /api/v1/users
[2026-05-15T09:51:38.858Z] POST /api/v1/auth/login
[2026-05-15T09:51:38.861Z] GET /api/v1/users
[2026-05-15T09:51:39.035Z] POST /api/v1/auth/login
[2026-05-15T09:51:39.037Z] POST /api/v1/users
[2026-05-15T09:51:39.191Z] POST /api/v1/auth/login
[2026-05-15T09:51:39.197Z] GET /api/v1/users
[2026-05-15T09:51:39.199Z] POST /api/v1/auth/login
[2026-05-15T09:51:39.487Z] DELETE /api/v1/users/test-id
[2026-05-15T09:51:39.500Z] POST /api/v1/auth/login
[2026-05-15T09:51:39.502Z] GET /api/v1/users
[2026-05-15T09:51:39.503Z] POST /api/v1/auth/login
[2026-05-15T09:51:39.785Z] DELETE /api/v1/users/test-id
[2026-05-15T09:51:39.797Z] POST /api/v1/auth/login
[2026-05-15T09:51:39.798Z] GET /api/v1/users
[2026-05-15T09:51:39.799Z] POST /api/v1/auth/login
[2026-05-15T09:51:40.059Z] DELETE /api/v1/users/test-id
[2026-05-15T09:51:40.075Z] POST /api/v1/auth/login
[2026-05-15T09:51:40.076Z] GET /api/v1/users
[2026-05-15T09:51:40.078Z] POST /api/v1/auth/login
[2026-05-15T09:51:40.328Z] DELETE /api/v1/users/test-id
[2026-05-15T09:51:40.338Z] POST /api/v1/auth/login
[2026-05-15T09:51:40.339Z] GET /api/v1/users
[2026-05-15T09:51:40.340Z] POST /api/v1/auth/login
[2026-05-15T09:51:40.641Z] DELETE /api/v1/users/test-id
[2026-05-15T09:51:40.652Z] POST /api/v1/auth/login
[2026-05-15T09:51:40.654Z] GET /api/v1/users
[2026-05-15T09:51:41.534Z] POST /api/v1/auth/login
[2026-05-15T09:51:53.392Z] POST /api/v1/auth/login
[2026-05-15T09:51:53.401Z] GET /api/v1/users
[2026-05-15T09:51:54.161Z] POST /api/v1/auth/login
[2026-05-15T09:51:54.162Z] POST /api/v1/users
[2026-05-15T09:51:54.636Z] POST /api/v1/auth/login
[2026-05-15T09:52:06.504Z] POST /api/v1/auth/login
[2026-05-15T09:52:06.512Z] GET /api/v1/users
[2026-05-15T09:52:07.665Z] POST /api/v1/auth/login
[2026-05-15T09:52:21.079Z] POST /api/v1/auth/login
[2026-05-15T09:52:21.095Z] GET /api/v1/users
[2026-05-15T09:52:22.285Z] POST /api/v1/auth/login
[2026-05-15T09:52:22.288Z] GET /api/v1/users
[2026-05-15T09:52:22.656Z] POST /api/v1/auth/login
[2026-05-15T09:52:22.660Z] GET /api/v1/users
[2026-05-15T09:52:23.433Z] POST /api/v1/auth/login
[2026-05-15T09:52:35.473Z] POST /api/v1/auth/login
[2026-05-15T09:52:35.481Z] GET /api/v1/users
[2026-05-15T09:52:36.643Z] POST /api/v1/auth/login
[2026-05-15T09:52:48.781Z] POST /api/v1/auth/login
[2026-05-15T09:52:48.792Z] GET /api/v1/users
[2026-05-15T09:52:50.337Z] POST /api/v1/auth/login
[2026-05-15T09:53:04.972Z] POST /api/v1/auth/login
[2026-05-15T09:53:04.988Z] GET /api/v1/users
[2026-05-15T09:53:04.993Z] POST /api/v1/auth/login
[2026-05-15T09:53:05.621Z] POST /api/v1/users/test-id/reset-password
[2026-05-15T09:53:05.652Z] POST /api/v1/auth/login
[2026-05-15T09:53:05.655Z] GET /api/v1/users
[2026-05-15T09:53:07.368Z] POST /api/v1/auth/login
[2026-05-15T09:53:19.739Z] POST /api/v1/auth/login
[2026-05-15T09:53:19.751Z] GET /api/v1/users
[2026-05-15T09:53:21.407Z] POST /api/v1/auth/login
[2026-05-15T09:53:33.742Z] POST /api/v1/auth/login
[2026-05-15T09:53:33.752Z] GET /api/v1/users
[2026-05-15T09:53:35.359Z] POST /api/v1/auth/login
[2026-05-15T09:53:47.204Z] POST /api/v1/auth/login
[2026-05-15T09:53:47.213Z] GET /api/v1/users
[2026-05-15T09:53:48.502Z] POST /api/v1/auth/login
[2026-05-15T09:54:00.966Z] POST /api/v1/auth/login
[2026-05-15T09:54:00.975Z] GET /api/v1/users
[2026-05-15T09:54:02.606Z] POST /api/v1/auth/login
[2026-05-15T09:54:14.776Z] POST /api/v1/auth/login
[2026-05-15T09:54:14.787Z] GET /api/v1/users
[2026-05-15T09:54:16.640Z] POST /api/v1/auth/login
[2026-05-15T09:54:28.645Z] POST /api/v1/auth/login
[2026-05-15T09:54:28.656Z] GET /api/v1/users
[2026-05-15T09:54:29.871Z] POST /api/v1/auth/login
[2026-05-15T09:54:41.810Z] POST /api/v1/auth/login
[2026-05-15T09:54:41.819Z] GET /api/v1/users
[2026-05-15T09:54:41.821Z] POST /api/v1/auth/login
[2026-05-15T09:54:42.992Z] POST /api/v1/auth/login
[2026-05-15T09:54:42.999Z] GET /api/v1/users
[2026-05-15T09:54:43.003Z] POST /api/v1/auth/login
[2026-05-15T09:54:44.100Z] POST /api/v1/auth/login
[2026-05-15T09:54:44.109Z] GET /api/v1/users
[2026-05-15T09:54:44.111Z] POST /api/v1/auth/login
[2026-05-15T09:54:45.272Z] POST /api/v1/auth/login
[2026-05-15T09:54:45.280Z] GET /api/v1/users
[2026-05-15T09:54:45.282Z] POST /api/v1/auth/login
[2026-05-15T09:54:46.447Z] POST /api/v1/auth/login
[2026-05-15T09:54:46.465Z] GET /api/v1/users
[2026-05-15T09:54:46.469Z] POST /api/v1/auth/login
[2026-05-15T09:54:47.785Z] POST /api/v1/auth/login
[2026-05-15T09:54:47.799Z] GET /api/v1/users
[2026-05-15T09:54:47.803Z] POST /api/v1/auth/login
[2026-05-15T09:54:49.328Z] POST /api/v1/auth/login
[2026-05-15T09:54:49.338Z] GET /api/v1/users
[2026-05-15T09:54:49.341Z] POST /api/v1/auth/login
[2026-05-15T09:54:49.628Z] POST /api/v1/users
[2026-05-15T09:54:49.647Z] POST /api/v1/auth/login
[2026-05-15T09:54:49.649Z] GET /api/v1/users
[2026-05-15T09:54:49.651Z] POST /api/v1/auth/login
[2026-05-15T09:54:49.920Z] PUT /api/v1/users/test-id
[2026-05-15T09:54:49.932Z] POST /api/v1/auth/login
[2026-05-15T09:54:49.936Z] GET /api/v1/users
[2026-05-15T09:54:49.938Z] POST /api/v1/auth/login
[2026-05-15T09:54:50.237Z] DELETE /api/v1/users/test-id
[2026-05-15T09:54:50.251Z] POST /api/v1/auth/login
[2026-05-15T09:54:50.254Z] GET /api/v1/users
[2026-05-15T09:54:50.255Z] POST /api/v1/auth/login
[2026-05-15T09:54:50.256Z] PUT /api/v1/users/test-id
[2026-05-15T09:54:51.215Z] POST /api/v1/auth/login
[2026-05-15T09:54:51.225Z] GET /api/v1/users
[2026-05-15T09:54:52.996Z] POST /api/v1/auth/login
[2026-05-15T09:55:04.866Z] POST /api/v1/auth/login
[2026-05-15T09:55:04.874Z] GET /api/v1/users
[2026-05-15T09:55:05.307Z] POST /api/v1/auth/login
[2026-05-15T09:55:05.316Z] GET /api/v1/users
[2026-05-15T09:55:06.758Z] POST /api/v1/auth/login
[2026-05-15T09:55:07.295Z] POST /api/v1/auth/login
[2026-05-15T09:55:18.920Z] POST /api/v1/auth/login
[2026-05-15T09:55:18.928Z] GET /api/v1/users
[2026-05-15T09:55:20.324Z] POST /api/v1/auth/login
[2026-05-15T09:55:31.870Z] POST /api/v1/auth/login
[2026-05-15T09:55:32.390Z] POST /api/v1/auth/login
[2026-05-15T09:55:32.399Z] GET /api/v1/users
[2026-05-15T09:55:34.039Z] POST /api/v1/auth/login
[2026-05-15T09:55:45.978Z] POST /api/v1/auth/login
[2026-05-15T09:55:45.986Z] GET /api/v1/users
[2026-05-15T09:55:47.485Z] POST /api/v1/auth/login
[2026-05-15T09:55:59.389Z] POST /api/v1/auth/login
[2026-05-15T09:55:59.397Z] GET /api/v1/users
[2026-05-15T09:56:01.802Z] POST /api/v1/auth/login
[2026-05-15T09:56:14.526Z] POST /api/v1/auth/login
[2026-05-15T09:56:14.783Z] GET /api/v1/users
[2026-05-15T09:56:15.664Z] POST /api/v1/auth/login
[2026-05-15T09:56:16.433Z] POST /api/v1/auth/login
[2026-05-15T09:56:17.198Z] GET /api/v1/users
[2026-05-15T09:56:17.201Z] GET /api/v1/users
[2026-05-15T09:56:17.202Z] GET /api/v1/roles
[2026-05-15T09:56:17.204Z] GET /api/v1/roles
[2026-05-15T09:56:18.563Z] POST /api/v1/auth/login
[2026-05-15T09:56:18.840Z] GET /api/v1/users
[2026-05-15T09:56:19.938Z] POST /api/v1/auth/login
[2026-05-15T09:56:31.823Z] POST /api/v1/auth/login
[2026-05-15T09:56:32.070Z] GET /api/v1/users
[2026-05-15T09:56:33.626Z] POST /api/v1/auth/login
[2026-05-15T09:56:45.420Z] POST /api/v1/auth/login
[2026-05-15T09:56:45.666Z] GET /api/v1/users
[2026-05-15T09:56:46.943Z] POST /api/v1/auth/login
[2026-05-15T09:56:59.717Z] POST /api/v1/auth/login
[2026-05-15T09:57:00.099Z] GET /api/v1/users
[2026-05-15T09:57:02.190Z] POST /api/v1/auth/login
[2026-05-15T09:57:02.833Z] GET /api/v1/inventory/stats
[2026-05-15T09:57:03.102Z] GET /api/v1/users
[2026-05-15T09:57:03.104Z] GET /api/v1/roles
[2026-05-15T09:57:03.107Z] GET /api/v1/users
[2026-05-15T09:57:03.110Z] GET /api/v1/roles
[2026-05-15T09:57:04.809Z] POST /api/v1/auth/login
[2026-05-15T09:57:05.398Z] POST /api/v1/auth/login
[2026-05-15T09:57:05.819Z] GET /api/v1/users
[2026-05-15T09:57:06.586Z] POST /api/v1/auth/login
[2026-05-15T09:57:07.276Z] GET /api/v1/users
[2026-05-15T09:57:07.280Z] GET /api/v1/users
[2026-05-15T09:57:07.282Z] GET /api/v1/roles
[2026-05-15T09:57:07.285Z] GET /api/v1/roles
[2026-05-15T09:57:09.472Z] POST /api/v1/auth/login
[2026-05-15T09:57:09.717Z] GET /api/v1/users
[2026-05-15T09:57:10.331Z] POST /api/v1/auth/login
[2026-05-15T09:57:11.002Z] GET /api/v1/users
[2026-05-15T09:57:11.005Z] GET /api/v1/users
